id,city,country,lat,long,description,closest airport
15,”Edinburgh”,”Scotland”,55.9533,3.1883,"Scotland’s capital is one of the most unique and memorable cities in Europe. Edinburgh has a rare charm with narrow and cobbled passageways, called closes in Scots. The town is also known for its dark corners where terrifying events have taken place, its majestic buildings and gardens, countless fascinating museums, which are free to visit and, especially, the citys kind and open locals. All the above-mentioned make this city a favourite among those who have visited it.","Edinburgh, Scotland - 11km"
16,”Serengeti National Park”,”Tanzania”,1.8936,34.6857,"Established in 1951, Tanzania`s famous Serengeti park covers a staggering surface area of 14.750 square metres and is home to over 3.000 lions, 5.000 African bush elephants and over 1.000 Tanzanian cheetahs, as well many other species. Particularly famed for its spectacular scenes of migrating wildebeest, the park offers sightings and close encounters with wild animals which cannot be experienced anywhere else in the world. Its breathtaking scenery includes vast grasslands and kopjes as well as forests and rivers; visitors to the park can expect to be quite simply spellbound.","Moshi, Tanzania - 320km"
17,”Kyoto”,”Japan”,35.0116,135.7681,"The capital of Imperial Japan for over 1.000 years, Kyoto on the island of Honshu encapsulates the essence of Japanese culture and history is a way few other Japanese cities do. Famed for its pagoda-like temples, shrines and palaces, Kyoto is a fascinating mixture of traditional and modern culture; it is quite possible here to catch a glimpse of a red-lipped and kimono-clad geisha in among the high-tech businessmen, for example. Awesome in the spring with its famous masses of cherry blossom, the fiery red colors of fall are equally resplendent in Kyoto. And a glimpse of the famous and much painted Mount Fuji in the background is a one-off.
","Osaka, Japan - 36km"
18,”Singapore”,”Singapore”,1.3521,103.8198,"Immaculate, efficient Singapore is a miraculous sight, particularly for travelers familiar with modern Asian metropolises. The city maintains a remarkable balance of green space and skyscrapers, in addition to sustaining substantial ethnic enclaves like Little India and Chinatown. This motley group of cultures has brought to this former British colony something special – a common mindset. Singaporeans are determined and patriotic; they are proud of what they have achieved (just look at Marina Bay and you might get jealous).",Singapore - 25km
19,”Luang Prabang”,”Laos”,19.8833,102.1387,"A fascinating blend of spiritual, cultural and architectural traditions, Luang Prabang is widely considered to be the most beautiful city in southeastern Asia. Its name means “Royal Buddha Image” and was bestowed on the region in 698 CE; prior to this it was known as Muang Sua. Luang Prabang consists of 58 villages, 33 of which were named a UNESCO World Heritage Site in 1995. The spiritual heart of Laos, it is famed for its magnificent temples and the hundreds of monks collecting alms on its streets. But Luang Prabang also offers a wealth of cultural and natural attractions: waterfalls and caves, markets and festivals and great cuisine. Wanderlust Travel Awards named it “Best City” in 2015.","Luang Prabang, Laos - 5km"
20,”Barcelona”,”Spain”,41.3851,2.1734,"The name of this storied Catalan city, Barcelona, is almost as beautiful as the coastal metropolis itself. Nicknamed Ciudad Condol (once upon a time, the city was the seat of the Count of Barcelona) the destination sticks with anyone who wanders among the remarkable architecture and through the airy plaças. Nestled along the sparkling Medetearrean Sea in northeastern Spain, Barcelona is a colorful melting pot of culture, full of world-renowned cuisine, legendary art, music, and more. ","Barcelona, Spain - 13km"
21,”Disney World”,”United States”,28.3772,-81.5707,"Covering nearly 47 square-miles, the Walt Disney World Resort features four theme parks: Epcot, Magic Kingdom Park, Disney’s Animal Kingdom Park and Disneys Hollywood Studios, two water parks: Disneys Blizzard Beach and Disneys Typhoon Lagoon and over 20 resort hotels. With interactive rides, animal adventures, magical attractions, dining, shopping and nearly 60,000 cast members performing in more than 3,000 different roles, guests will be sure to feel the magic of Disney during each and every visit.","Orlando, Florida - 31km"
22,”Seoul”,”South Korea”,37.5665,126.978,"Buddhist temples meet designer boutiques - as South Koreas largest city, Seoul certainly has a claim on being one of the financial and cultural epicenters of East Asia. But this citys most compelling trait may be how it continues to embrace its ancient traditions while also becoming a Silicon Valley hub with endless food streets, high-energy nightlife and cutting-edge architecture. When you visit Seoul, youll see a study in contrasts.","Seoul, South Korea - 17km"
23,”Amsterdam”,”Holland”,52.3676,4.9041,"The fifth largest seaport in Europe, the lively bustling city of Amsterdam was a small fishing village until the 12th century. During the 17th century, trade and industry boomed and it became the richest city in the world. It is still one of the top financial centers of Europe, and its many attractions – the Anne Frank house, the Van Gogh museum and its canals (not to mention its red light district and cannabis coffee-shops) – make it a well-loved destination for tourists from all over the world.","Amsterdam, Holland - 12km"
24,”Lake Lucerne”,”Switzerland”,47.0136,8.4372,"Recipe for a gorgeous Swiss city: take a cobalt lake ringed by mountains of myth, add a well-preserved medieval Altstadt (Old Town) and a reputation for making beautiful music, then sprinkle with covered bridges, sunny plazas, candy-coloured houses and waterfront promenades. Lucerne is stunning, and deservedly popular since the likes of Goethe, Queen Victoria and Wagner savoured its views in the 19th century. Legend has it that an angel with a light showed the first settlers where to build a chapel in Lucerne, and today it still has amazing grace.","Zurich, Switzerland - 66km"
25,”Monteverde”,”Costa Rica”,10.275,-84.8255,"“Pura vida” or “pure life” is a phrase frequently used in Costa Rica, supposedly the happiest country in the world. Tucked between Nicaragua and Panama in Central America with the Pacific ocean on one side and the Caribbean on the other, the country boasts unbelievable biodiversity, idyllic beaches and a wealth of historical artefacts going back to 1500. It is also one of the best developed countries in Latin America, ranking 69th in the world in the Human Development Index of 2015. It is also very eco-friendly: roughly 25% of its land enjoys protected National Park status, and it plans to be carbon-neutral by 2021. With its lush green rainforests, towering volcanoes and incredible beaches, Costa Rica has something for every taste.","San Jose, Costa Rica - 138km"
26,”Island of Sal”,”Cape Verde”,16.7266,-22.9297,"Considered to be one of the top five windsurfing destinations in the world, the island of Sal (named after the salt mines at Pedro de Lume – “sal” is Portuguese for “salt”) in the northern Barlavento islands is a perfect paradise for watersports and beach lovers. The archipelago, which is situated off the west coast of Africa, consists of a total of eight islands. Sal enjoys a tropical climate, with 350 days of sun a year, low humidity and temperatures of around 26°-30° C. Santa Maria to the south of the island offers a vibrant nightlife, with bars and restaurants; to the north; a salt lake in the crater of a dormant volcano is an interesting place to swim, and at Terra Boa the visitor can marvel at a real live mirage – an ocean in the middle of a desert. Awesome!
","Sal, Cape Verde - 2km"
27,”Anchorage”,”United States”,61.2181,-149.9003,"Sure, Anchorage is a paradisiacal home base for skiers, hikers, fishermen and wildlife watchers, but that doesnt mean the city itself should be ignored. Alaskas metropolis boasts a plethora of attractions, including museums, shops, nightlife venues and a fantastic zoo. And if nature is your true calling, great hiking is only a few minutes away!","Anchorage, Alaska - 10km"
28,”Key West”,”United States”,24.5551,-81.78,"Known for warm beaches and eccentric residents with a live-in-the-moment philosophy, Key West offers a relaxed yet unexpected seaside adventure. Do as the residents (known as Conchs) do and see where that free spirit might take you (possibly on a guided tour or a snorkeling trip). Perhaps youll end up at a Duval Street bar, in a Mallory Square shop or even touring Ernest Hemingways old home.","Key West, Florida - 4km"
29,”Lake  Como”,”Italy”,46.016,9.2572,"Lake Como’s appeal is a timeless one. Located in the north of Italy, near Milan, this natural paradise has been a popular destination since the time of the ancient Romans. More recently, it’s made headlines as George Clooney’s famous hideaway. Lake Como travel means exploring medieval remnants in stone villages like Bellagio and Varenna; it also means a look at opulent villas on lakeside estates. Rolling vineyards, olive trees, wisteria vines and Alpine peaks are the cherry on top. ","Milan, Italy - 84km"
30,”Bora Bora”,”Bora Bora”,-16.5004,-151.7415,"The small island of Bora Bora (just about 6 miles long and a little more than 2 miles wide) overflows with beauty. A dormant volcano rises up at its center and fans out into lush jungle before spilling into an aquamarine lagoon. In fact, author James Michener, who wrote Tales of the South Pacific, called Bora Bora the most beautiful island in the world. The 18th-century British explorer James Cook even coined it as the Pearl of the Pacific. The very definition of a tropical getaway, blissful Bora Bora abounds with luxurious resorts, sunny skies, warm waters and friendly locals. ",Bora Bora - 10km
